Tarih,Etkilenen sayfa sayısı
2026-01-27,1
2026-01-28,1
2026-01-29,1
2026-01-30,1
2026-01-31,1
2026-02-01,2
2026-02-02,2
2026-02-03,2
2026-02-04,3
2026-02-05,3
2026-02-06,3
2026-02-07,3
2026-02-08,4
2026-02-09,4
2026-02-10,4
2026-02-11,350
2026-02-12,350
2026-02-13,350
2026-02-14,350
2026-02-15,601
2026-02-16,601
2026-02-17,601
2026-02-18,641
2026-02-19,641
2026-02-20,641
2026-02-21,641
2026-02-22,674
2026-02-23,674
2026-02-24,674
2026-02-25,1011
2026-02-26,1011
2026-02-27,1011
2026-02-28,1011
2026-03-01,1011
2026-03-02,1011
2026-03-03,1011
2026-03-04,1067
2026-03-05,1067
2026-03-06,1067
2026-03-07,1067
2026-03-08,1094
2026-03-09,1094
2026-03-10,1094
2026-03-11,1197
2026-03-12,1197
2026-03-13,1197
2026-03-14,1197
2026-03-15,1197
2026-03-16,1233
2026-03-17,1233
2026-03-18,1311
2026-03-19,1311
2026-03-20,1311
2026-03-21,1311
